Server time in hour,Difference with previous Zigzag length in pips,Zigzag completion time in mins,ZigZag length in pips,Zigza length round to nearest 10 pips,Next Zigzag length in pips,Previous Zigzag length in pips,If greater than 10 pips
19,8,110,18.6,20,26.5,26.6,1
20,8,95.00000001,26.5,30,12.6,18.6,1
22,14,50,12.6,10,12.9,26.5,1
23,0,125,12.9,10,6.2,12.6,1
1,6,30,6.2,10,8.8,12.9,0
1,2,80,8.8,10,7.7,6.2,0
3,1,15,7.7,10,13.5,8.8,0
3,6,80,13.5,10,13.6,7.7,1
4,0,195,13.6,10,6.2,13.5,1
8,7,25,6.2,10,16.1,13.6,0
8,10,70,16.1,20,37,6.2,1
9,21,235,37,40,26.8,16.1,1
13,11,35,26.8,30,20.2,37,1
14,6,70,20.2,20,16.2,26.8,1
15,4,50.00000001,16.2,20,15.3,20.2,1
16,1,29.99999999,15.3,20,18.3,16.2,1
16,3,85,18.3,20,19.9,15.3,1
18,1,45,19.9,20,16.8,18.3,1
18,3,75,16.8,20,14.4,19.9,1
20,2,35,14.4,10,13.5,16.8,1
20,1,100,13.5,10,71.1,14.4,1
22,58,5935,71.1,70,5.7,13.5,1
1,66,30,5.7,10,8,71.1,0
1,2,55,8,10,10,5.7,0
2,2,29.99999999,10,10,13.1,8,0
3,4,50.00000001,13.1,10,11.1,10,1
3,2,55,11.1,10,7.8,13.1,1
4,4,20,7.8,10,9.5,11.1,0
5,2,135,9.5,10,4.2,7.8,0
7,5,45,4.2,0,8.6,9.5,0
8,4,25,8.6,10,24.2,4.2,0
8,16,70,24.2,20,21.3,8.6,1
9,3,25,21.3,20,24.2,24.2,1
10,3,70,24.2,20,19.3,21.3,1
11,5,80.00000001,19.3,20,15.8,24.2,1
12,4,84.99999999,15.8,20,10.6,19.3,1
14,5,45,10.6,10,10.7,15.8,1
14,0,10,10.7,10,21.7,10.6,1
15,11,110,21.7,20,13,10.7,1
16,8,20,13,10,14.4,21.7,1
17,1,45,14.4,10,73.2,13,1
17,59,195,73.2,70,17.5,14.4,1
21,56,135,17.5,20,9.3,73.2,1
23,8,35,9.3,10,9.7,17.5,0
0,0,85,9.7,10,8.4,9.3,0
1,1,74.99999999,8.4,10,15.6,9.7,0
2,7,15.00000001,15.6,20,12.1,8.4,1
2,3,115,12.1,10,14.8,15.6,1
4,2,35,14.8,10,49.3,12.1,1
5,35,300,49.3,50,17,14.8,1
10,32,180,17,20,54.5,49.3,1
13,37,99.99999999,54.5,50,26,17,1
15,29,45,26,30,21.8,54.5,1
15,4,35.00000001,21.8,20,18.5,26,1
16,3,74.99999999,18.5,20,16,21.8,1
17,2,65,16,20,19.3,18.5,1
18,3,120,19.3,20,16.6,16,1
20,3,39.99999999,16.6,20,24,19.3,1
21,7,90,24,20,12.2,16.6,1
22,11,20,12.2,10,11,24,1
23,2,280,11,10,7.4,12.2,1
3,3,35,7.4,10,15.9,11,0
4,8,85,15.9,20,13.1,7.4,1
5,2,95,13.1,10,4.2,15.9,1
7,9,30,4.2,0,17.4,13.1,0
8,13,115,17.4,20,37.2,4.2,1
9,20,65,37.2,40,11.7,17.4,1
11,26,74.99999999,11.7,10,11.8,37.2,1
12,0,20,11.8,10,16.5,11.7,1
12,5,110,16.5,20,26.3,11.8,1
14,10,90,26.3,30,32.5,16.5,1
15,6,39.99999999,32.5,30,26.7,26.3,1
16,6,55,26.7,30,12.4,32.5,1
17,14,20,12.4,10,67,26.7,1
17,55,365,67,70,1.8,12.4,1
23,66,4450,1.8,0,6.7,67,0
2,5,55,6.7,10,13.9,1.8,0
3,7,150,13.9,10,4.4,6.7,1
5,9,115,4.4,0,4.5,13.9,0
7,0,39.99999999,4.5,0,17.5,4.4,0
8,13,100,17.5,20,11.5,4.5,1
9,6,15,11.5,10,16.2,17.5,1
10,5,45,16.2,20,15.2,11.5,1
10,1,55,15.2,20,24.5,16.2,1
11,9,190,24.5,20,19.9,15.2,1
14,5,50.00000001,19.9,20,12.2,24.5,1
15,7,29.99999999,12.2,10,22.4,19.9,1
16,10,60.00000001,22.4,20,37.4,12.2,1
17,15,50,37.4,40,30.5,22.4,1
18,7,200,30.5,30,10.3,37.4,1
21,20,45,10.3,10,13.7,30.5,1
22,3,60,13.7,10,10,10.3,1
23,3,145,10,10,4,13.7,0
1,6,55,4,0,4.7,10,0
2,0,25,4.7,0,8,4,0
2,3,35,8,10,10.4,4.7,0
3,3,160,10.4,10,11.5,8,1
6,1,135,11.5,10,30.4,10.4,1
8,19,140,30.4,30,18.8,11.5,1
10,12,80,18.8,20,27.3,30.4,1
12,9,105,27.3,30,22.9,18.8,1
13,5,105,22.9,20,7.6,27.3,1
15,15,45,7.6,10,8.9,22.9,0
16,1,10,8.9,10,13.2,7.6,0
16,5,19.99999999,13.2,10,21.7,8.9,1
16,8,170,21.7,20,20,13.2,1
19,1,55,20,20,24.7,21.7,1
20,4,100,24.7,20,7.3,20,1
22,17,55,7.3,10,11.3,24.7,0
23,4,40,11.3,10,8.4,7.3,1
23,3,100,8.4,10,9.3,11.3,0
1,1,60,9.3,10,7.1,8.4,0
2,2,39.99999999,7.1,10,11.7,9.3,0
3,4,280,11.7,10,4.9,7.1,1
7,7,35,4.9,0,8.5,11.7,0
8,4,60.00000001,8.5,10,21.1,4.9,0
9,13,65,21.1,20,27,8.5,1
10,5,120,27,30,9.3,21.1,1
12,17,90,9.3,10,7.1,27,0
13,2,25,7.1,10,21.7,9.3,0
14,14,20,21.7,20,31.7,7.1,1
14,10,35,31.7,30,19.7,21.7,1
15,12,105,19.7,20,17.3,31.7,1
17,2,15,17.3,20,13.1,19.7,1
17,4,60,13.1,10,24.8,17.3,1
18,11,100,24.8,20,36.6,13.1,1
19,12,185,36.6,40,19.6,24.8,1
23,17,55,19.6,20,0.6,36.6,1
23,19,35,0.6,0,22.7,19.6,0
0,22,195,22.7,20,13.7,0.6,1
3,9,145,13.7,10,5.4,22.7,1
6,8,45,5.4,10,5.9,13.7,0
6,0,125,5.9,10,10.7,5.4,0
9,5,50,10.7,10,51.7,5.9,1
9,41,25.00000001,51.7,50,41.9,10.7,1
10,10,140,41.9,40,9.8,51.7,1
12,32,55,9.8,10,14.4,41.9,0
13,5,80,14.4,10,22.3,9.8,1
14,8,125,22.3,20,12.1,14.4,1
16,10,55,12.1,10,19.6,22.3,1
17,7,45,19.6,20,10.7,12.1,1
18,9,35,10.7,10,9.2,19.6,1
19,1,45,9.2,10,9.6,10.7,0
19,0,10,9.6,10,18.5,9.2,0
20,9,20,18.5,20,64.8,9.6,1
20,46,4655,64.8,60,9.9,18.5,1
2,55,64.99999999,9.9,10,7.2,64.8,0
3,2,55,7.2,10,9.5,9.9,0
4,2,45,9.5,10,15.3,7.2,0
4,6,25.00000001,15.3,20,23.7,9.5,1
5,8,235,23.7,20,12.8,15.3,1
9,11,45,12.8,10,8.1,23.7,1
9,4,70.00000001,8.1,10,11.9,12.8,0
11,3,29.99999999,11.9,10,11.4,8.1,1
11,0,45,11.4,10,19,11.9,1
12,8,135,19,20,36.9,11.4,1
14,17,265,36.9,40,10.2,19,1
18,26,75,10.2,10,9,36.9,1
20,1,64.99999999,9,10,14.1,10.2,0
21,5,65,14.1,10,4.7,9,1
22,10,35,4.7,0,9.5,14.1,0
22,5,25,9.5,10,10.3,4.7,0
23,1,15.00000001,10.3,10,0.8,9.5,1
23,10,80,0.8,0,6.1,10.3,0
0,6,35,6.1,10,10.3,0.8,0
1,4,100,10.3,10,21.2,6.1,1
3,11,140,21.2,20,8.8,10.3,1
5,13,60.00000001,8.8,10,6.6,21.2,0
6,2,35,6.6,10,7.2,8.8,0
7,1,39.99999999,7.2,10,8.7,6.6,0
7,1,75,8.7,10,9.7,7.2,0
9,1,60,9.7,10,12.5,8.7,0
10,3,15.00000001,12.5,10,41.6,9.7,1
10,29,185,41.6,40,11.6,12.5,1
13,30,75,11.6,10,9.7,41.6,1
14,2,29.99999999,9.7,10,10.3,11.6,0
15,1,45,10.3,10,22.1,9.7,1
15,12,130,22.1,20,29.8,10.3,1
18,7,170,29.8,30,7.9,22.1,1
20,22,35,7.9,10,4.3,29.8,0
21,3,95.00000001,4.3,0,3.2,7.9,0
23,1,39.99999999,3.2,0,3.5,4.3,0
23,0,15.00000001,3.5,0,1.2,3.2,0
23,2,19.99999999,1.2,0,5.2,3.5,0
0,4,5.000000006,5.2,10,4,1.2,0
0,2,115,4,0,7.8,5.2,0
2,4,45,7.8,10,6.9,4,0
3,1,30,6.9,10,10.8,7.8,0
3,4,55,10.8,10,20.4,6.9,1
4,10,95,20.4,20,27.3,10.8,1
6,7,285,27.3,30,7.9,20.4,1
10,20,35,7.9,10,9.7,27.3,0
11,2,45,9.7,10,26.8,7.9,0
12,17,160,26.8,30,24.8,9.7,1
14,2,230,24.8,20,33.3,26.8,1
18,9,120,33.3,30,86.4,24.8,1
20,53,180,86.4,90,14.9,33.3,1
23,72,90,14.9,10,11.6,86.4,1
1,3,90,11.6,10,11.1,14.9,1
2,0,60,11.1,10,9.1,11.6,1
3,2,40,9.1,10,9.9,11.1,0
4,0,29.99999999,9.9,10,17.5,9.1,0
4,8,50.00000001,17.5,20,8.1,9.9,1
5,9,110,8.1,10,4.5,17.5,0
7,4,29.99999999,4.5,0,10.2,8.1,0
7,6,45,10.2,10,14.1,4.5,1
8,4,30,14.1,10,39.4,10.2,1
9,25,155,39.4,40,9.2,14.1,1
11,30,39.99999999,9.2,10,24.9,39.4,0
12,15,195,24.9,20,13.2,9.2,1
15,11,45,13.2,10,26.7,24.9,1
16,13,39.99999999,26.7,30,25.2,13.2,1
